ID,MRSA_FoldCh,VRE_FoldCh,EHEC_FoldCh,VRSA_FoldCh,CRE_FoldCh,MDR_TB_FoldCh,XDR_TB_FoldCh,GAS_FoldCh,GBS_FoldCh,NTHi_FoldCh,MRSA_AdjP,VRE_AdjP,EHEC_AdjP,VRSA_AdjP,CRE_AdjP,MDR_TB_AdjP,XDR_TB_AdjP,GAS_AdjP,GBS_AdjP,NTHi_AdjP
V9FY97,2.390980712647541,2.401337197692138,-0.2537309220980305,5.434435034529691,-2.8993755126664764,1.7057891786458006,1.7024339576594296,0.28072912960097374,-6.885081472383189,0.42342149397965445,0.0034177447111319453,0.0673836183982788,0.09107201178927096,0.0862631735609359,0.05320227577104948,0.030750154759802098,0.07412525752733741,0.0953069099655271,0.08036293033495948,0.028114951154939227
OAA3CL,4.143286830313626,-0.2009146267101108,0.8466361057956697,-2.414909001255209,-0.6346738189352897,-2.130675058382141,-3.4976219971999893,-1.374737353366731,5.285938267905497,3.7349279057241302,0.07238370373889741,0.09522686304353979,0.013421712082386614,0.07226173540542433,0.011602847325424312,0.0932873284931758,0.014910364981196744,0.0738433254388685,0.037004435963050794,0.017240450647139832
G9G3EW,0.0573131503674594,0.8008716290407655,0.39679254139640374,-2.7375660677187197,-3.6701787095542078,4.538690776574795,0.20849299864916684,0.17285581376489575,-4.252506655730137,3.1626627843352546,0.04377930340439601,0.06826924142242166,0.04734661610634446,0.04390608514249899,0.055647862455976284,0.05605625161992255,0.051268596628842866,0.012282965731277712,0.08317139369121486,0.04571194875877923
53KKX4,-2.6980720614311844,-1.4989544876706993,0.5237193556857513,-1.1521456734613464,-0.1658399657259703,-2.7705073850606468,0.19852538276375076,-2.2612475334905042,1.0783216266299838,0.7704983263014311,0.0013440535300258544,0.07945071952323293,0.07296764094516545,0.016403010912333246,0.07564224625185698,0.06141029703838178,0.05837608664731932,0.09233464956316506,0.02736939901243292,0.06186652687540899
TXMZ3J,0.42493502800700633,5.363186137404081,4.128110125318594,3.5698306839106353,-2.026155238923393,-1.6044603385928715,1.4518656552892182,-0.3842296976365881,-1.2603205404265023,-2.4440936195219836,0.06490365596473427,0.07307859777457808,0.03450757822640743,0.06420812584852903,0.00862668051910874,0.09944453180530193,0.09162820360371667,0.09827712985409993,0.07508383556765189,0.005353729333039972
Z1784Z,0.9069089802747269,1.1452194440198835,3.583232268624283,2.8765003068353168,-4.414676529725106,-1.6663021088814252,-2.1829310200577883,4.6306608348420015,-1.887470236763956,-2.584998690491027,0.0967803918322682,0.07884439797225638,0.035224897866934,0.08047251016921719,0.005435533055417677,0.08662995258963074,0.0593433410851131,0.03450915520533113,0.06699173181160065,0.04007578945841122
GOP1CJ,-2.747400291867317,4.863307859463468,0.6094850119623232,1.4037044448245368,-1.5289054116892857,1.272217696607345,0.8491992278326672,1.207864031712432,-2.9016070242925602,-2.2900252793430527,0.0657549897267638,0.08894909146828903,0.035684042312181474,0.03293067281213935,0.017782048375415,0.09816488559252955,0.029377446872759658,0.08517732200595833,0.037504709526480336,0.0729114407367802
D6CEK6,5.443762870077631,-0.6253502829555628,3.3495104582072956,6.396583702718316,2.1007341481871804,-2.2521829528832225,-4.003826012889368,-2.1946449889351216,6.077829240832343,5.070560243915132,0.03865589658719989,0.027776160671034347,0.09531726571530534,0.05064382711927798,0.02390339602012377,0.0021080390454707443,0.08972900814296286,0.057677486270738695,0.024229176673812497,0.0911685563537423
8X2R76,1.658656558915449,3.5054107888733723,1.0559561627563534,3.5850083137374895,4.007334808433127,-5.269182446498363,3.401820583192694,-1.5322684720141875,6.59860431600994,-2.3500948412618934,0.020481131468622057,0.017937638754032828,0.03606222953591706,0.0035243769264804437,0.012498442770014787,0.09274083550135635,0.003770764688872122,0.08105575820699881,0.0016441082072470858,0.025109361963303156
GNOZJB,-0.5767215208952404,6.757706031122675,-4.465216116481294,-6.105445353555458,1.536027176510998,-3.2284939899393112,3.2077476486911642,3.970831059074495,0.7334681933493155,1.8046618930655305,0.05550536005574762,0.07493023225628294,0.0989401880432468,0.009690013008280207,0.035391292062219595,0.04237644845613519,0.03472127159215206,0.038908078099875565,0.007050746247070194,0.024446279878332283
MDTETP,0.5291791398667222,-3.6904869187691114,0.5759706274757491,7.141723209375895,-2.2817662985357106,1.8785302056242994,-4.185215305191298,-0.29364019603078206,4.551295068690961,-1.7229616888403734,0.059351954383094145,0.07641425561269746,0.032928032254676,0.032904358205771075,0.020491815530175497,0.05944709008758542,0.06067209922707943,0.07361952668128964,0.0011179784625432038,0.09315443096453181
ZXC2B5,1.6966819335054506,-2.28493901602548,2.415941539176442,2.2155810352194556,-2.8181482836214915,4.341220210777571,2.1496042217996982,2.661797410332809,-2.2889889634275282,0.11258456135973492,0.09930966304979555,0.021528449724873833,0.012033096031329571,0.09208346266816339,0.06727643876099368,0.06266074573256483,0.08830480029057747,0.09694144363507873,0.007798255079044358,0.03365789833044304
8ZY8OT,-2.6232099267627165,-1.533535953855805,-1.9294987362061256,-2.4049002640623085,-5.0159224491005805,-0.4948564481884405,1.7351546081060967,0.4096159711216235,3.22072108521216,2.4774861750658137,0.06939913828773056,0.09496500149739917,0.07042757040944908,0.004150570381853402,0.031453815343355104,0.015423764524215844,0.042272885877158516,0.022945616166679977,0.045653992192690396,0.09108103442613612
HHP8J1,-1.5929992386856096,2.210773030998408,-1.3195113136436234,-0.9036729722198036,-3.7301376505423756,-2.839517611851371,1.083002546276656,0.26664033776244145,-4.976068944432135,1.4786059247471062,0.02248485688104236,0.09680032619193646,0.033626017630873084,0.041729326291454316,0.058902664556340016,0.08071161718965696,0.09736439832930444,0.013787702412924652,0.04318688190836481,0.06572852340902025
FLDQLJ,-1.205126180732283,7.259961898968934,0.09811890039210011,-0.6572686823364853,5.631074455151046,-5.127750195844098,7.029124266383624,5.353745063373849,-4.033882044182441,-0.4062664304364212,0.015530685410269751,0.02766320653156172,0.030823474743976856,0.03427164964251159,0.08057949224439212,0.09476722611507497,0.003875534516844345,0.024763770734100743,0.06303260753881745,0.0320835667989451
8DNEXY,1.6001995910438938,-2.702667972250887,0.5502574753174371,-4.1871797838652025,-0.8811670143462362,3.1507642476935853,0.40520017404810404,4.2280371499348295,0.39784688367187404,1.9783997969644675,0.02019536762090103,0.07940087803721979,0.024491916325383528,0.08795567240082107,0.059461257305515006,0.04640436980531047,0.07399529271456365,0.02367557425750566,0.05307556627694743,0.0722750697657762
IBPIQL,-3.3594307964705274,-3.694431894954157,-2.0814550723664675,-3.892776497576416,5.752691245510344,-2.7538976392292525,-9.669123242398332,-1.0666553272230368,2.0306834131662006,2.6192170350967303,0.04173503038425225,0.031528988010367034,0.06354126062781382,0.017034991127341012,0.0873011535071361,0.04342792241915541,0.019168157658283988,0.08027726519186502,0.02965771559330646,0.083291356792752
